,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179
1570622935465,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,84.0,85.0,85.0,84.0,82.0,83.0,79.0,79.0,77.0,76.0,73.0,72.0,70.0,66.0,65.0,65.0,61.0,59.0,57.0,54.0,51.0,48.0,48.0,44.0,44.0,40.0,36.0,33.0,32.0,29.0,28.0,24.0,21.0,16.0,14.0,11.0,9.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,64.0,68.0,68.0,72.0,73.0,70.0,70.0,71.0,72.0,69.0,70.0,67.0,68.0,65.0,63.0,63.0,63.0,60.0,57.0,56.0,56.0,53.0,53.0,52.0,51.0,47.0,50.0,47.0,46.0,42.0,42.0,39.0,40.0,36.0,36.0,33.0,33.0,27.0,28.0,28.0,29.0,23.0,2.0,18.0,19.0,19.0,2.0,14.0,13.0,10.0,10.0,10.0,7.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570623007609,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10.0,0.0,65.0,65.0,60.0,61.0,60.0,57.0,57.0,53.0,52.0,48.0,48.0,43.0,44.0,41.0,40.0,37.0,33.0,30.0,26.0,27.0,24.0,21.0,17.0,16.0,13.0,11.0,9.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0,57.0,60.0,62.0,66.0,66.0,65.0,66.0,66.0,65.0,61.0,62.0,60.0,60.0,60.0,58.0,55.0,56.0,57.0,52.0,52.0,50.0,47.0,47.0,51.0,43.0,46.0,40.0,41.0,34.0,36.0,37.0,33.0,33.0,35.0,31.0,29.0,24.0,24.0,24.0,18.0,21.0,19.0,2.0,15.0,18.0,18.0,2.0,13.0,13.0,11.0,9.0,9.0,7.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570623074009,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,67.0,68.0,68.0,69.0,68.0,66.0,65.0,61.0,58.0,58.0,56.0,55.0,51.0,48.0,48.0,44.0,45.0,42.0,38.0,33.0,34.0,29.0,26.0,26.0,23.0,20.0,16.0,16.0,12.0,8.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,58.0,62.0,67.0,67.0,68.0,68.0,69.0,70.0,69.0,65.0,66.0,68.0,67.0,62.0,62.0,61.0,59.0,58.0,59.0,55.0,53.0,53.0,51.0,48.0,49.0,47.0,46.0,40.0,42.0,41.0,39.0,36.0,36.0,33.0,32.0,29.0,28.0,29.0,25.0,25.0,20.0,21.0,17.0,2.0,15.0,15.0,14.0,2.0,8.0,8.0,6.0,5.0,2.0,3.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570623140418,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10.0,61.0,61.0,62.0,58.0,58.0,54.0,53.0,51.0,47.0,48.0,42.0,42.0,39.0,39.0,38.0,34.0,33.0,30.0,25.0,26.0,23.0,22.0,19.0,16.0,14.0,11.0,10.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,58.0,60.0,64.0,66.0,68.0,66.0,65.0,70.0,66.0,67.0,64.0,65.0,66.0,64.0,61.0,60.0,57.0,57.0,57.0,58.0,56.0,52.0,53.0,52.0,46.0,47.0,46.0,41.0,42.0,40.0,36.0,33.0,34.0,32.0,30.0,29.0,31.0,27.0,20.0,20.0,20.0,16.0,19.0,2.0,11.0,16.0,17.0,2.0,10.0,9.0,7.0,4.0,3.0,5.0,3.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570623211046,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,58.0,59.0,59.0,55.0,55.0,52.0,52.0,52.0,48.0,47.0,44.0,41.0,37.0,33.0,32.0,29.0,28.0,25.0,21.0,19.0,16.0,15.0,11.0,6.0,7.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,51.0,55.0,56.0,57.0,56.0,56.0,59.0,55.0,56.0,55.0,56.0,49.0,52.0,50.0,50.0,47.0,49.0,46.0,43.0,42.0,41.0,43.0,40.0,36.0,32.0,35.0,29.0,27.0,30.0,28.0,27.0,20.0,20.0,22.0,18.0,19.0,18.0,17.0,13.0,11.0,12.0,3.0,8.0,3.0,10.0,8.0,13.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570624098829,26.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.0,92.0,87.0,85.0,81.0,79.0,76.0,72.0,69.0,66.0,61.0,58.0,54.0,51.0,47.0,44.0,39.0,36.0,30.0,29.0,29.0,26.0,22.0,37.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,93.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,98.0,93.0,94.0,92.0,95.0,87.0,87.0,85.0,81.0,81.0,79.0,77.0,72.0,72.0,73.0,68.0,66.0,63.0,64.0,63.0,63.0,60.0,57.0,56.0,53.0,50.0,23.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570624165217,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,97.0,96.0,93.0,89.0,91.0,89.0,86.0,85.0,83.0,80.0,76.0,77.0,73.0,70.0,69.0,67.0,64.0,60.0,56.0,56.0,52.0,52.0,48.0,45.0,45.0,40.0,37.0,36.0,32.0,28.0,25.0,22.0,19.0,19.0,15.0,10.0,7.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,24.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,63.0,67.0,69.0,74.0,76.0,75.0,76.0,76.0,77.0,72.0,73.0,74.0,71.0,70.0,71.0,72.0,67.0,69.0,69.0,64.0,69.0,67.0,67.0,63.0,61.0,62.0,59.0,58.0,56.0,54.0,54.0,49.0,47.0,48.0,49.0,43.0,44.0,37.0,40.0,35.0,35.0,31.0,31.0,12.0,28.0,24.0,22.0,12.0,22.0,23.0,22.0,18.0,18.0,18.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570708481904,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,67.0,67.0,67.0,63.0,64.0,63.0,59.0,60.0,55.0,51.0,52.0,49.0,48.0,44.0,45.0,40.0,38.0,34.0,34.0,29.0,29.0,25.0,21.0,21.0,16.0,16.0,13.0,13.0,8.0,7.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,61.0,64.0,66.0,71.0,70.0,66.0,68.0,68.0,71.0,68.0,68.0,65.0,65.0,65.0,66.0,62.0,62.0,62.0,58.0,58.0,56.0,56.0,54.0,51.0,51.0,49.0,46.0,47.0,44.0,42.0,41.0,38.0,39.0,35.0,36.0,33.0,32.0,33.0,31.0,28.0,28.0,21.0,23.0,17.0,20.0,20.0,19.0,14.0,14.0,15.0,12.0,12.0,9.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570710773568,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,75.0,77.0,77.0,76.0,74.0,69.0,70.0,68.0,67.0,64.0,61.0,61.0,58.0,57.0,53.0,49.0,49.0,46.0,42.0,42.0,38.0,35.0,32.0,31.0,27.0,28.0,23.0,22.0,18.0,15.0,11.0,11.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,63.0,65.0,70.0,70.0,71.0,72.0,72.0,73.0,69.0,71.0,71.0,72.0,71.0,68.0,65.0,64.0,64.0,63.0,66.0,63.0,60.0,60.0,61.0,57.0,53.0,54.0,51.0,50.0,51.0,50.0,44.0,44.0,39.0,42.0,39.0,37.0,32.0,32.0,29.0,30.0,30.0,26.0,23.0,2.0,23.0,22.0,17.0,2.0,17.0,17.0,13.0,13.0,9.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570710839968,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,67.0,68.0,67.0,66.0,64.0,63.0,59.0,57.0,54.0,54.0,53.0,51.0,47.0,47.0,43.0,39.0,39.0,36.0,36.0,34.0,30.0,27.0,24.0,24.0,19.0,20.0,19.0,15.0,12.0,9.0,9.0,8.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,74.0,79.0,79.0,83.0,81.0,83.0,82.0,82.0,81.0,80.0,82.0,82.0,80.0,80.0,76.0,74.0,75.0,72.0,73.0,72.0,70.0,68.0,65.0,65.0,63.0,61.0,62.0,59.0,56.0,53.0,53.0,50.0,46.0,49.0,46.0,41.0,39.0,40.0,36.0,34.0,31.0,32.0,28.0,21.0,24.0,24.0,23.0,24.0,21.0,20.0,20.0,17.0,13.0,14.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570710910685,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,66.0,65.0,65.0,61.0,60.0,54.0,55.0,50.0,50.0,47.0,47.0,44.0,40.0,38.0,38.0,35.0,33.0,30.0,26.0,26.0,21.0,22.0,18.0,16.0,14.0,10.0,10.0,5.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,10.0,57.0,60.0,64.0,64.0,65.0,66.0,64.0,64.0,64.0,66.0,62.0,62.0,63.0,60.0,60.0,55.0,51.0,53.0,54.0,49.0,49.0,48.0,47.0,48.0,42.0,39.0,38.0,38.0,37.0,39.0,32.0,32.0,31.0,31.0,26.0,27.0,20.0,18.0,22.0,14.0,14.0,14.0,11.0,2.0,7.0,6.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570710977093,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10.0,0.0,64.0,65.0,63.0,61.0,60.0,56.0,56.0,52.0,51.0,49.0,43.0,44.0,41.0,39.0,37.0,33.0,30.0,29.0,26.0,24.0,23.0,19.0,18.0,14.0,10.0,10.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0,57.0,59.0,63.0,63.0,64.0,63.0,63.0,65.0,62.0,65.0,61.0,60.0,58.0,58.0,58.0,54.0,57.0,58.0,53.0,54.0,51.0,51.0,46.0,44.0,40.0,42.0,41.0,39.0,36.0,38.0,36.0,36.0,29.0,33.0,26.0,27.0,20.0,23.0,24.0,19.0,19.0,15.0,13.0,9.0,13.0,14.0,13.0,6.0,8.0,6.0,6.0,7.0,4.0,6.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570711043500,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,69.0,68.0,69.0,70.0,69.0,65.0,65.0,61.0,61.0,59.0,55.0,55.0,54.0,48.0,46.0,44.0,40.0,37.0,37.0,33.0,29.0,26.0,24.0,21.0,18.0,17.0,13.0,12.0,9.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,49.0,53.0,55.0,58.0,58.0,57.0,55.0,57.0,52.0,54.0,56.0,53.0,54.0,55.0,50.0,47.0,47.0,45.0,45.0,44.0,45.0,43.0,40.0,42.0,34.0,35.0,33.0,30.0,29.0,30.0,28.0,29.0,24.0,25.0,23.0,18.0,21.0,16.0,16.0,16.0,14.0,11.0,10.0,10.0,10.0,11.0,2.0,7.0,7.0,5.0,5.0,4.0,3.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570766010336,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,96.0,93.0,91.0,88.0,85.0,82.0,78.0,78.0,73.0,70.0,68.0,63.0,59.0,59.0,55.0,50.0,49.0,43.0,39.0,40.0,34.0,31.0,27.0,24.0,20.0,20.0,7.0,8.0,4.0,2.0,2.0,2.0,31.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,78.0,84.0,90.0,93.0,94.0,95.0,97.0,97.0,98.0,99.0,99.0,100.0,99.0,100.0,97.0,97.0,100.0,98.0,99.0,96.0,96.0,93.0,94.0,95.0,94.0,93.0,90.0,89.0,86.0,85.0,83.0,85.0,82.0,82.0,79.0,77.0,74.0,70.0,71.0,67.0,64.0,62.0,59.0,56.0,54.0,52.0,53.0,52.0,52.0,48.0,46.0,44.0,42.0,41.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1570766076733,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,93.0,93.0,94.0,95.0,94.0,95.0,94.0,91.0,90.0,87.0,87.0,83.0,80.0,81.0,77.0,74.0,74.0,71.0,69.0,66.0,63.0,62.0,61.0,54.0,54.0,51.0,47.0,44.0,42.0,37.0,35.0,31.0,30.0,28.0,25.0,20.0,16.0,16.0,11.0,12.0,7.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,65.0,71.0,74.0,76.0,81.0,81.0,81.0,79.0,81.0,80.0,81.0,78.0,78.0,79.0,77.0,77.0,78.0,74.0,73.0,72.0,70.0,71.0,68.0,69.0,66.0,64.0,64.0,61.0,62.0,59.0,56.0,57.0,54.0,50.0,52.0,49.0,47.0,48.0,44.0,40.0,37.0,36.0,35.0,32.0,29.0,29.0,27.0,27.0,26.0,26.0,23.0,23.0,20.0,20.0,19.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1571028225839,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,93.0,94.0,97.0,98.0,97.0,98.0,98.0,97.0,97.0,93.0,93.0,90.0,86.0,85.0,83.0,82.0,79.0,76.0,75.0,72.0,69.0,68.0,64.0,60.0,57.0,53.0,51.0,50.0,46.0,41.0,38.0,35.0,32.0,27.0,25.0,20.0,17.0,14.0,10.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,58.0,59.0,63.0,65.0,66.0,66.0,66.0,64.0,64.0,67.0,67.0,64.0,63.0,61.0,61.0,61.0,62.0,59.0,60.0,56.0,57.0,56.0,57.0,54.0,50.0,51.0,52.0,50.0,50.0,46.0,46.0,45.0,42.0,43.0,40.0,40.0,37.0,37.0,33.0,33.0,31.0,28.0,28.0,24.0,27.0,27.0,27.0,22.0,22.0,21.0,21.0,20.0,20.0,15.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1571028292254,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,10.0,68.0,69.0,69.0,68.0,68.0,68.0,67.0,63.0,62.0,60.0,55.0,56.0,53.0,50.0,50.0,45.0,46.0,43.0,39.0,38.0,35.0,30.0,30.0,28.0,24.0,23.0,19.0,19.0,19.0,14.0,10.0,9.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,69.0,71.0,73.0,74.0,73.0,72.0,71.0,74.0,74.0,71.0,72.0,73.0,70.0,69.0,69.0,68.0,68.0,68.0,65.0,63.0,66.0,63.0,60.0,61.0,58.0,56.0,56.0,52.0,53.0,51.0,51.0,49.0,45.0,46.0,42.0,43.0,41.0,41.0,37.0,33.0,35.0,35.0,32.0,15.0,29.0,26.0,26.0,13.0,21.0,22.0,19.0,15.0,18.0,2.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1571029477837,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,96.0,91.0,91.0,86.0,81.0,79.0,76.0,75.0,70.0,66.0,63.0,60.0,57.0,54.0,49.0,45.0,41.0,37.0,33.0,30.0,25.0,20.0,16.0,13.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,29.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,63.0,66.0,68.0,74.0,75.0,78.0,78.0,82.0,79.0,79.0,79.0,79.0,82.0,79.0,77.0,78.0,80.0,77.0,77.0,75.0,75.0,74.0,73.0,74.0,73.0,70.0,70.0,67.0,64.0,64.0,65.0,61.0,63.0,59.0,56.0,56.0,56.0,51.0,51.0,46.0,47.0,43.0,40.0,40.0,37.0,37.0,32.0,36.0,37.0,34.0,30.0,28.0,29.0,26.0,25.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
